# India quality list — the durability half of the gate, maintained by hand.
#
# WHY THIS IS MANUAL
# yfinance serves 4 years of Indian financials. Rules 2, 3 and 8 need 10, 6 and
# 6 years respectively, so they cannot be computed — and those are the rules
# doing most of the work in the US gate (69% and 31% kill rates). A 4-year
# automated gate would look like the US one and mean something much weaker, so
# the durability half stays human until better data exists.
#
# HOW TO REFRESH (quarterly is plenty — fundamentals move four times a year)
# Paste this into the query box at screener.in/screen/new/ and copy the symbols
# that come back into the list below.
#
#   Market Capitalization > 5000 AND
#   Return on capital employed > 15 AND
#   Average return on capital employed 5Years > 15 AND
#   Debt to equity < 0.5 AND
#   Interest Coverage Ratio > 5 AND
#   Promoter holding > 40 AND
#   Pledged percentage < 5
#
# Screener uses ROCE (pre-tax) where this project uses ROIC (post-tax). Close
# enough as a first pass; it flatters companies with low effective tax rates.
#
# Promoter holding and pledge have no US equivalent and are worth keeping — a
# mandated quarterly disclosure, and pledged promoter stock is one of the
# cheapest distress signals available anywhere.
#
# One ticker per line, .NS suffix, comments after #.

# --- paste results below this line ---



# --- Screener.in run 2026-08-01, intersected with Nifty 500 ---
# 240 Screener passers x 354 non-financial Nifty names = 136 kept.
# Looser than the US gate (14%) because Screener covers rules 1,2,6,7 only.

3MINDIA.NS      # Diversified
LTM.NS          # Information Technology
LTTS.NS         # Information Technology
MAPMYINDIA.NS   # Information Technology
MARICO.NS       # Fast Moving Consumer Goods
MARUTI.NS       # Automobile and Auto Components
MAZDOCK.NS      # Capital Goods
MSUMI.NS        # Automobile and Auto Components
NATCOPHARM.NS   # Healthcare
NATIONALUM.NS   # Metals & Mining
NBCC.NS         # Construction
NESTLEIND.NS    # Fast Moving Consumer Goods
NETWEB.NS       # Information Technology
NEWGEN.NS       # Information Technology
NMDC.NS         # Metals & Mining
OFSS.NS         # Information Technology
OLECTRA.NS      # Automobile and Auto Components
PAGEIND.NS      # Textiles
PFIZER.NS       # Healthcare
PIDILITIND.NS   # Chemicals
POLYCAB.NS      # Capital Goods
POWERINDIA.NS   # Capital Goods
RADICO.NS       # Fast Moving Consumer Goods
RAILTEL.NS      # Telecommunication
RITES.NS        # Construction
RRKABEL.NS      # Capital Goods
SARDAEN.NS      # Metals & Mining
SAREGAMA.NS     # Media Entertainment & Publication
SCHAEFFLER.NS   # Automobile and Auto Components
SIEMENS.NS      # Capital Goods
SOLARINDS.NS    # Chemicals
SPLPETRO.NS     # Chemicals
SUMICHEM.NS     # Chemicals
SUNPHARMA.NS    # Healthcare
SUNTV.NS        # Media Entertainment & Publication
SUPREMEIND.NS   # Capital Goods
TATAELXSI.NS    # Information Technology
TATATECH.NS     # Information Technology
TBOTEK.NS       # Consumer Services
TCS.NS          # Information Technology
TENNIND.NS      # Automobile and Auto Components
TIINDIA.NS      # Automobile and Auto Components
TIMKEN.NS       # Capital Goods
TMCV.NS         # Capital Goods
TRAVELFOOD.NS   # Consumer Services
TRITURBINE.NS   # Capital Goods
UNITDSPR.NS     # Fast Moving Consumer Goods
UNOMINDA.NS     # Automobile and Auto Components
USHAMART.NS     # Capital Goods
VBL.NS          # Fast Moving Consumer Goods
VIJAYA.NS       # Healthcare
WAAREEENER.NS   # Capital Goods
WELCORP.NS      # Capital Goods
WIPRO.NS        # Information Technology
ZENSARTECH.NS   # Information Technology
ZENTEC.NS       # Capital Goods
ZFCVINDIA.NS    # Automobile and Auto Components
ZYDUSLIFE.NS    # Healthcare
